position,title,slug,price,offer,product_link
1,Amazon Fire HD 10 (2021) 11th Gen 3GB/32GB,tablet,"14,999",-12%,https://www.pickaboo.com/product-detail/amazon-fire-hd-10-2021-11th-gen-3gb-32gb/
2,realme Pad Mini 3GB/32GB,tablet,"20,299",-5%,https://www.pickaboo.com/product-detail/realme-pad-mini-3gb-32gb/
3,Samsung Galaxy Tab A8 3GB/32GB,tablet,"35,999",-0%,https://www.pickaboo.com/product-detail/samsung-galaxy-tab-a8-3gb-32gb/
4,Samsung Galaxy Tab A8 4GB/64GB,tablet,"40,699",-0%,https://www.pickaboo.com/product-detail/samsung-galaxy-tab-a8-4gb-64gb/
5,Samsung Galaxy Tab A7 2020 3GB/32GB,tablet,"30,499",-0%,https://www.pickaboo.com/product-detail/samsung-galaxy-tab-a7-10-4-2020-3gb-32gb/
6,Samsung Galaxy Tab A 2GB/32GB 2019,tablet,"8,999",-41%,https://www.pickaboo.com/product-detail/samsung-galaxy-tab-a-8-0-2gb-32gb-2019/
